timestamp,rtu_id,bus_number,voltage_magnitude,voltage_angle,frequency,active_power,reactive_power,status,voltage_deviation,frequency_deviation,voltage_in_normal_range,frequency_in_normal_range,attack,attack_type,attack_severity,voltage_offset,frequency_offset,datetime
1759804163.7837706,RTU4,8,0.794,-0.061,50.08,-227.7,-79.0,GOOD,0.206,0.0761,0,1,1,Voltage Attack,low,-0.206,0.0,2025-10-07 02:29:23.783770561
1759804163.7983835,RTU1,9,0.915,-0.062,50.85,98.2,182.8,GOOD,0.0852,0.8542,0,0,1,Status Spoofing,medium,-0.085,0.85,2025-10-07 02:29:23.798383474
1759804163.7962635,RTU3,3,0.902,0.023,50.6,-246.9,-2.5,SUSPECT,0.0977,0.6032,0,0,1,Combined Attack,low,-0.098,0.6,2025-10-07 02:29:23.796263456
1759804163.7980318,RTU4,5,1.072,0.067,51.24,157.1,194.5,GOOD,0.0717,1.2384,0,0,1,Status Spoofing,high,0.072,1.24,2025-10-07 02:29:23.798031807
1759804163.7813258,RTU4,9,0.732,0.038,50.07,-107.7,-76.7,INVALID,0.2685,0.0699,0,1,1,Voltage Attack,high,-0.268,0.0,2025-10-07 02:29:23.781325817
1759804163.7870715,RTU3,4,1.007,-0.02,52.9,-219.8,-70.6,GOOD,0.0069,2.9018,1,0,1,Frequency Attack,high,0.0,2.9,2025-10-07 02:29:23.787071466
1759804163.7924674,RTU2,4,0.925,-0.092,48.29,472.2,93.5,INVALID,0.0752,1.7081,0,0,1,Combined Attack,high,-0.075,-1.71,2025-10-07 02:29:23.792467356
1759804163.7861607,RTU2,2,1.004,0.023,51.17,497.8,100.7,GOOD,0.0036,1.1732,1,0,1,Frequency Attack,medium,0.0,1.17,2025-10-07 02:29:23.786160707
1759804163.7973104,RTU3,4,1.083,0.077,49.44,495.1,50.4,GOOD,0.0834,0.5646,0,0,1,Status Spoofing,medium,0.083,-0.56,2025-10-07 02:29:23.797310352
1759804163.80653,RTU4,2,1.047,-0.146,49.89,161.9,222.4,GOOD,0.0474,0.1104,1,1,1,Measurement Noise,low,0.047,-0.11,2025-10-07 02:29:23.806529999
1759804163.7939837,RTU3,1,0.721,-0.067,48.74,-257.6,-96.1,SUSPECT,0.2785,1.2633,0,0,1,Combined Attack,medium,-0.279,-1.26,2025-10-07 02:29:23.793983698
1759804163.7753189,RTU2,3,0.997,0.029,50.27,-340.3,-171.1,GOOD,0.0028,0.2695,1,1,0,None,none,,,2025-10-07 02:29:23.775318861
1759804163.7953868,RTU4,4,0.801,-0.097,48.69,-356.4,-127.9,GOOD,0.1991,1.3072,0,0,1,Combined Attack,low,-0.199,-1.31,2025-10-07 02:29:23.795386791
1759804163.790446,RTU1,7,1.066,0.018,52.05,-101.1,-12.8,INVALID,0.0662,2.0459,0,0,1,Combined Attack,high,0.066,2.05,2025-10-07 02:29:23.790446043
1759804163.7988524,RTU3,8,1.072,-0.012,49.57,290.9,181.3,GOOD,0.0722,0.4315,0,1,1,Status Spoofing,high,0.072,-0.43,2025-10-07 02:29:23.798852444
1759804163.7766848,RTU4,5,0.986,-0.081,50.03,-217.2,-67.1,GOOD,0.0139,0.0262,1,1,0,None,none,,,2025-10-07 02:29:23.776684761
1759804163.792334,RTU4,4,0.72,-0.029,47.42,392.3,99.6,SUSPECT,0.2799,2.5833,0,0,1,Combined Attack,medium,-0.28,-2.58,2025-10-07 02:29:23.792334080
1759804163.7910352,RTU3,5,0.847,0.068,52.48,247.2,74.4,SUSPECT,0.1525,2.4822,0,0,1,Combined Attack,medium,-0.153,2.48,2025-10-07 02:29:23.791035175
1759804163.7747445,RTU4,5,1.013,-0.056,49.83,-171.5,-138.3,GOOD,0.0127,0.1718,1,1,0,None,none,,,2025-10-07 02:29:23.774744511
1759804163.8005948,RTU3,7,1.066,-0.024,50.62,355.7,24.3,GOOD,0.0655,0.6212,0,0,1,Status Spoofing,medium,0.066,0.62,2025-10-07 02:29:23.800594807
1759804163.8008015,RTU1,6,1.085,0.045,50.79,-274.0,-56.5,GOOD,0.0848,0.7929,0,0,1,Status Spoofing,medium,0.085,0.79,2025-10-07 02:29:23.800801516
1759804163.797163,RTU3,1,0.935,-0.027,50.5,-159.9,-159.4,GOOD,0.0651,0.5002,0,0,1,Status Spoofing,low,-0.065,0.5,2025-10-07 02:29:23.797163010
1759804163.7935789,RTU2,5,1.125,0.073,49.0,316.8,108.2,SUSPECT,0.1246,1.003,0,0,1,Combined Attack,low,0.125,-1.0,2025-10-07 02:29:23.793578863
1759804163.782482,RTU2,7,0.882,-0.077,50.13,64.1,107.2,GOOD,0.1182,0.132,0,1,1,Voltage Attack,medium,-0.118,0.0,2025-10-07 02:29:23.782481909
1759804163.7890766,RTU3,3,1.014,-0.045,48.22,-386.3,-58.8,GOOD,0.0135,1.7807,1,0,1,Frequency Attack,medium,0.0,-1.78,2025-10-07 02:29:23.789076567
1759804163.7754722,RTU3,8,0.993,0.055,49.91,194.0,153.5,GOOD,0.0074,0.091,1,1,0,None,none,,,2025-10-07 02:29:23.775472164
1759804163.7871337,RTU4,5,1.006,0.046,48.31,229.3,117.4,GOOD,0.0065,1.6945,1,0,1,Frequency Attack,medium,0.0,-1.69,2025-10-07 02:29:23.787133694
1759804163.7994585,RTU3,5,0.948,0.082,49.4,-175.3,-54.7,GOOD,0.0517,0.602,0,0,1,Status Spoofing,high,-0.052,-0.6,2025-10-07 02:29:23.799458504
1759804163.7741983,RTU3,3,1.0,0.073,50.0,-71.7,-183.7,GOOD,0.0,0.0027,1,1,0,None,none,,,2025-10-07 02:29:23.774198294
1759804163.777086,RTU4,9,0.994,0.058,50.18,362.3,56.6,INVALID,0.006,0.1775,1,1,0,None,none,,,2025-10-07 02:29:23.777086020
1759804163.7768917,RTU2,1,0.994,-0.029,50.03,-371.6,-52.6,GOOD,0.0059,0.0287,1,1,0,None,none,,,2025-10-07 02:29:23.776891708
1759804163.776793,RTU3,1,1.007,-0.062,50.0,-142.7,-38.3,GOOD,0.0071,0.0031,1,1,0,None,none,,,2025-10-07 02:29:23.776793003
1759804163.7828455,RTU4,7,0.812,-0.076,49.92,264.6,39.5,GOOD,0.1875,0.077,0,1,1,Voltage Attack,high,-0.188,0.0,2025-10-07 02:29:23.782845497
1759804163.7933302,RTU1,8,1.169,0.081,48.16,-355.6,-44.3,INVALID,0.1685,1.8416,0,0,1,Combined Attack,high,0.169,-1.84,2025-10-07 02:29:23.793330193
1759804163.8046427,RTU1,6,1.102,-0.067,49.89,113.5,27.5,GOOD,0.102,0.1144,0,1,1,Measurement Noise,high,0.102,-0.11,2025-10-07 02:29:23.804642677
1759804163.8037899,RTU1,5,0.982,0.078,49.68,438.8,175.8,GOOD,0.0177,0.3203,1,1,1,Measurement Noise,low,-0.018,-0.32,2025-10-07 02:29:23.803789854
1759804163.7781632,RTU2,8,1.005,-0.05,49.99,57.5,29.4,GOOD,0.0047,0.0131,1,1,0,None,none,,,2025-10-07 02:29:23.778163195
1759804163.7826326,RTU1,3,0.937,-0.057,50.09,-76.7,-129.4,SUSPECT,0.0633,0.0908,0,1,1,Voltage Attack,low,-0.063,0.0,2025-10-07 02:29:23.782632589
1759804163.7758884,RTU4,8,1.018,0.027,49.99,90.9,132.0,GOOD,0.0183,0.0131,1,1,0,None,none,,,2025-10-07 02:29:23.775888443
1759804163.7781034,RTU2,4,1.005,0.097,49.95,494.8,183.1,GOOD,0.0051,0.0541,1,1,0,None,none,,,2025-10-07 02:29:23.778103352
1759804163.7761242,RTU2,3,0.981,-0.068,50.1,65.0,96.2,GOOD,0.0188,0.1022,1,1,0,None,none,,,2025-10-07 02:29:23.776124239
1759804163.8044674,RTU2,9,0.987,-0.007,49.38,-341.8,-249.1,GOOD,0.0128,0.6219,1,0,1,Measurement Noise,high,-0.013,-0.62,2025-10-07 02:29:23.804467440
1759804163.7955098,RTU3,1,0.932,0.03,47.19,-93.3,-13.4,GOOD,0.068,2.8076,0,0,1,Combined Attack,high,-0.068,-2.81,2025-10-07 02:29:23.795509815
1759804163.7948747,RTU3,7,0.926,0.077,47.58,-152.2,-14.7,GOOD,0.0742,2.4238,0,0,1,Combined Attack,medium,-0.074,-2.42,2025-10-07 02:29:23.794874668
1759804163.7917635,RTU3,4,0.716,-0.073,52.11,-375.5,-108.3,GOOD,0.284,2.115,0,0,1,Combined Attack,high,-0.284,2.11,2025-10-07 02:29:23.791763544
1759804163.8061233,RTU3,1,1.031,-0.118,49.68,195.6,104.6,GOOD,0.0313,0.3239,1,1,1,Measurement Noise,medium,0.031,-0.32,2025-10-07 02:29:23.806123257
1759804163.782161,RTU3,7,1.074,-0.066,50.1,362.3,82.9,SUSPECT,0.0741,0.1026,0,1,1,Voltage Attack,high,0.074,0.0,2025-10-07 02:29:23.782160997
1759804163.7884958,RTU2,4,0.98,0.023,47.71,347.0,194.0,GOOD,0.0198,2.2929,1,0,1,Frequency Attack,high,0.0,-2.29,2025-10-07 02:29:23.788495779
1759804163.782645,RTU2,6,1.149,-0.048,49.85,262.1,35.5,GOOD,0.1488,0.1468,0,1,1,Voltage Attack,medium,0.149,0.0,2025-10-07 02:29:23.782644987
1759804163.7747664,RTU3,4,1.006,-0.032,49.93,-225.1,-109.1,GOOD,0.0058,0.0692,1,1,0,None,none,,,2025-10-07 02:29:23.774766445
1759804163.7861304,RTU3,4,1.002,-0.082,49.4,-346.7,-112.1,SUSPECT,0.0017,0.6022,1,0,1,Frequency Attack,low,0.0,-0.6,2025-10-07 02:29:23.786130428
1759804163.7814267,RTU3,1,0.78,0.005,49.97,67.8,108.3,SUSPECT,0.2198,0.0308,0,1,1,Voltage Attack,high,-0.22,0.0,2025-10-07 02:29:23.781426668
1759804163.8037133,RTU2,2,1.065,0.046,49.35,-242.8,-10.5,GOOD,0.0653,0.6548,0,0,1,Measurement Noise,high,0.065,-0.65,2025-10-07 02:29:23.803713322
1759804163.7812638,RTU3,4,1.15,0.072,50.04,-354.0,-20.0,GOOD,0.1496,0.036,0,1,1,Voltage Attack,medium,0.15,0.0,2025-10-07 02:29:23.781263828
1759804163.7883596,RTU2,1,0.991,0.041,48.29,393.1,39.0,SUSPECT,0.0093,1.7094,1,0,1,Frequency Attack,medium,0.0,-1.71,2025-10-07 02:29:23.788359642
1759804163.7780612,RTU2,10,1.005,0.012,50.15,-203.2,-35.2,GOOD,0.0046,0.1511,1,1,0,None,none,,,2025-10-07 02:29:23.778061152
1759804163.785277,RTU4,4,0.998,-0.083,48.5,-331.9,-60.8,GOOD,0.0022,1.5013,1,0,1,Frequency Attack,medium,0.0,-1.5,2025-10-07 02:29:23.785276890
1759804163.806326,RTU1,9,0.939,0.139,50.02,-416.7,48.1,GOOD,0.0605,0.0224,0,1,1,Measurement Noise,medium,-0.061,0.02,2025-10-07 02:29:23.806325912
1759804163.7804434,RTU2,4,1.154,-0.082,49.97,298.0,103.2,GOOD,0.1535,0.0326,0,1,1,Voltage Attack,low,0.154,0.0,2025-10-07 02:29:23.780443430
1759804163.8000884,RTU4,8,1.057,0.095,49.12,493.5,174.5,GOOD,0.0575,0.8781,0,0,1,Status Spoofing,medium,0.057,-0.88,2025-10-07 02:29:23.800088406
1759804163.7823713,RTU1,4,1.261,-0.043,49.91,119.1,122.8,GOOD,0.2614,0.0865,0,1,1,Voltage Attack,medium,0.261,0.0,2025-10-07 02:29:23.782371283
1759804163.7930381,RTU3,6,1.062,-0.097,49.4,-216.9,-170.5,GOOD,0.0617,0.6023,0,0,1,Combined Attack,low,0.062,-0.6,2025-10-07 02:29:23.793038130
1759804163.7991078,RTU2,10,0.909,-0.053,48.75,-206.8,-110.7,GOOD,0.0909,1.2469,0,0,1,Status Spoofing,high,-0.091,-1.25,2025-10-07 02:29:23.799107790
1759804163.780011,RTU2,4,1.236,0.099,49.69,359.3,36.3,GOOD,0.236,0.3136,0,1,1,Voltage Attack,high,0.236,0.0,2025-10-07 02:29:23.780010939
1759804163.781608,RTU3,4,0.791,-0.046,49.93,-378.0,-75.6,INVALID,0.2092,0.0735,0,1,1,Voltage Attack,high,-0.209,0.0,2025-10-07 02:29:23.781608105
1759804163.775154,RTU2,5,1.004,-0.028,49.98,-306.0,-16.7,GOOD,0.0044,0.0151,1,1,0,None,none,,,2025-10-07 02:29:23.775154114
1759804163.7863932,RTU2,10,1.003,-0.009,51.46,-161.4,-110.6,GOOD,0.003,1.4593,1,0,1,Frequency Attack,medium,0.0,1.46,2025-10-07 02:29:23.786393166
1759804163.7821488,RTU4,3,0.868,0.049,49.85,-70.4,-106.7,SUSPECT,0.1325,0.1466,0,1,1,Voltage Attack,medium,-0.132,0.0,2025-10-07 02:29:23.782148838
1759804163.7765899,RTU3,5,0.994,0.005,49.92,468.0,197.9,GOOD,0.0057,0.0842,1,1,0,None,none,,,2025-10-07 02:29:23.776589870
1759804163.7877727,RTU1,1,0.988,0.005,52.75,84.1,135.9,INVALID,0.0121,2.7517,1,0,1,Frequency Attack,high,0.0,2.75,2025-10-07 02:29:23.787772655
1759804163.8040464,RTU4,1,1.017,0.074,49.8,190.9,-27.0,GOOD,0.0172,0.2031,1,1,1,Measurement Noise,low,0.017,-0.2,2025-10-07 02:29:23.804046392
1759804163.7868009,RTU2,6,1.005,0.007,52.86,209.5,131.0,SUSPECT,0.0047,2.861,1,0,1,Frequency Attack,high,0.0,2.86,2025-10-07 02:29:23.786800861
1759804163.7787945,RTU1,2,0.992,-0.066,50.09,147.6,183.8,GOOD,0.008,0.0946,1,1,0,None,none,,,2025-10-07 02:29:23.778794527
1759804163.7898269,RTU3,1,0.863,-0.083,48.28,183.2,3.0,SUSPECT,0.1365,1.7152,0,0,1,Combined Attack,high,-0.137,-1.72,2025-10-07 02:29:23.789826870
1759804163.777109,RTU1,5,0.996,-0.085,49.95,230.8,89.2,GOOD,0.0044,0.0484,1,1,0,None,none,,,2025-10-07 02:29:23.777108908
1759804163.8050768,RTU1,10,1.047,0.091,49.8,485.4,160.6,INVALID,0.0467,0.1953,1,1,1,Measurement Noise,high,0.047,-0.2,2025-10-07 02:29:23.805076838
1759804163.8066099,RTU1,9,1.011,0.032,50.15,111.8,73.5,GOOD,0.0108,0.1491,1,1,1,Measurement Noise,low,0.011,0.15,2025-10-07 02:29:23.806609869
1759804163.785249,RTU1,3,1.003,0.063,47.59,-52.5,-134.0,GOOD,0.0028,2.4065,1,0,1,Frequency Attack,medium,0.0,-2.41,2025-10-07 02:29:23.785248995
1759804163.8008246,RTU3,1,0.932,0.046,50.78,-243.2,-153.0,GOOD,0.0677,0.7837,0,0,1,Status Spoofing,low,-0.068,0.78,2025-10-07 02:29:23.800824642
1759804163.787367,RTU4,1,1.006,-0.022,48.22,-353.4,-38.3,SUSPECT,0.0062,1.7753,1,0,1,Frequency Attack,low,0.0,-1.78,2025-10-07 02:29:23.787367105
1759804163.8047178,RTU1,6,1.015,-0.003,50.66,-437.5,-57.4,GOOD,0.0149,0.6635,1,0,1,Measurement Noise,high,0.015,0.66,2025-10-07 02:29:23.804717779
1759804163.7868962,RTU2,10,1.004,0.099,48.41,-321.8,-199.6,GOOD,0.0036,1.589,1,0,1,Frequency Attack,low,0.0,-1.59,2025-10-07 02:29:23.786896229
1759804163.7844594,RTU1,8,0.861,0.075,50.07,-200.0,-151.2,GOOD,0.1393,0.0654,0,1,1,Voltage Attack,low,-0.139,0.0,2025-10-07 02:29:23.784459352
1759804163.798806,RTU1,7,1.054,0.066,49.19,121.1,6.7,GOOD,0.0537,0.8143,0,0,1,Status Spoofing,low,0.054,-0.81,2025-10-07 02:29:23.798805952
1759804163.8039403,RTU3,2,0.991,-0.079,50.27,-53.9,-14.7,SUSPECT,0.0087,0.2719,1,1,1,Measurement Noise,low,-0.009,0.27,2025-10-07 02:29:23.803940296
1759804163.7762606,RTU4,2,0.998,0.022,49.96,-261.9,-128.2,GOOD,0.0018,0.0364,1,1,0,None,none,,,2025-10-07 02:29:23.776260614
1759804163.7908962,RTU4,4,1.188,0.076,52.44,-339.4,-179.0,GOOD,0.1882,2.4351,0,0,1,Combined Attack,medium,0.188,2.44,2025-10-07 02:29:23.790896177
1759804163.785644,RTU3,4,0.976,0.092,51.61,-77.4,-4.6,INVALID,0.0242,1.6068,1,0,1,Frequency Attack,high,0.0,1.61,2025-10-07 02:29:23.785644054
1759804163.7881875,RTU1,4,1.009,0.003,52.4,-335.4,-80.8,GOOD,0.0089,2.4035,1,0,1,Frequency Attack,high,0.0,2.4,2025-10-07 02:29:23.788187504
1759804163.7752616,RTU3,1,1.005,-0.07,50.0,105.2,69.0,GOOD,0.0045,0.0006,1,1,0,None,none,,,2025-10-07 02:29:23.775261641
1759804163.7771845,RTU1,8,1.006,-0.002,50.03,-392.0,-45.2,SUSPECT,0.0059,0.0341,1,1,0,None,none,,,2025-10-07 02:29:23.777184486
1759804163.7907908,RTU2,5,0.838,-0.016,47.69,-117.9,-104.0,INVALID,0.1621,2.3078,0,0,1,Combined Attack,medium,-0.162,-2.31,2025-10-07 02:29:23.790790796
1759804163.8048303,RTU2,2,1.0,0.113,50.22,-323.4,-56.4,SUSPECT,0.0001,0.2204,1,1,1,Measurement Noise,low,0.0,0.22,2025-10-07 02:29:23.804830313
1759804163.7937076,RTU2,2,0.771,-0.008,48.13,469.1,170.9,GOOD,0.2289,1.8653,0,0,1,Combined Attack,medium,-0.229,-1.87,2025-10-07 02:29:23.793707609
1759804163.7866888,RTU3,8,1.012,-0.068,49.1,-235.0,-182.4,SUSPECT,0.0124,0.8957,1,0,1,Frequency Attack,high,0.0,-0.9,2025-10-07 02:29:23.786688805
1759804163.7854917,RTU1,10,0.988,-0.007,46.68,-111.5,-52.9,SUSPECT,0.0119,3.3233,1,0,1,Frequency Attack,high,0.0,-3.32,2025-10-07 02:29:23.785491705
1759804163.7866747,RTU4,9,0.991,0.009,51.1,-379.5,-64.6,GOOD,0.0088,1.0967,1,0,1,Frequency Attack,low,0.0,1.1,2025-10-07 02:29:23.786674738
1759804163.7753408,RTU1,6,1.008,-0.082,49.94,213.6,95.8,GOOD,0.0075,0.0625,1,1,0,None,none,,,2025-10-07 02:29:23.775340796
1759804163.7887764,RTU1,1,0.997,-0.027,52.74,134.4,46.5,GOOD,0.0033,2.7439,1,0,1,Frequency Attack,medium,0.0,2.74,2025-10-07 02:29:23.788776398
1759804163.7919407,RTU4,5,0.725,0.006,51.25,-152.4,-9.7,SUSPECT,0.2749,1.2514,0,0,1,Combined Attack,medium,-0.275,1.25,2025-10-07 02:29:23.791940689
1759804163.8010697,RTU3,7,0.924,-0.033,49.57,-140.1,-22.2,GOOD,0.0765,0.4308,0,1,1,Status Spoofing,high,-0.076,-0.43,2025-10-07 02:29:23.801069736
1759804163.7861052,RTU3,10,1.007,-0.084,48.09,-296.7,-105.7,SUSPECT,0.0068,1.9083,1,0,1,Frequency Attack,high,0.0,-1.91,2025-10-07 02:29:23.786105156
1759804163.7765136,RTU2,4,0.989,-0.082,50.01,-302.4,-86.3,GOOD,0.0114,0.0147,1,1,0,None,none,,,2025-10-07 02:29:23.776513577
1759804163.793904,RTU3,4,0.694,0.042,51.57,-62.1,-120.6,GOOD,0.3055,1.5669,0,0,1,Combined Attack,high,-0.306,1.57,2025-10-07 02:29:23.793904066
1759804163.8050156,RTU4,10,1.074,-0.007,49.53,98.8,98.6,GOOD,0.0745,0.4703,0,1,1,Measurement Noise,high,0.074,-0.47,2025-10-07 02:29:23.805015564
1759804163.7823462,RTU1,1,1.098,0.003,50.09,-132.0,-63.1,SUSPECT,0.0982,0.0928,0,1,1,Voltage Attack,low,0.098,0.0,2025-10-07 02:29:23.782346249
1759804163.7870212,RTU3,4,1.003,0.004,48.73,93.7,85.8,GOOD,0.0028,1.2721,1,0,1,Frequency Attack,low,0.0,-1.27,2025-10-07 02:29:23.787021160
1759804163.7926357,RTU3,5,0.92,0.034,48.76,497.4,155.8,SUSPECT,0.08,1.2376,0,0,1,Combined Attack,low,-0.08,-1.24,2025-10-07 02:29:23.792635679
1759804163.7985687,RTU2,10,1.065,-0.069,49.56,-288.3,-75.2,GOOD,0.0652,0.4437,0,1,1,Status Spoofing,low,0.065,-0.44,2025-10-07 02:29:23.798568726
1759804163.7872543,RTU1,9,0.984,-0.003,49.21,-134.7,-0.6,SUSPECT,0.0163,0.7853,1,0,1,Frequency Attack,medium,0.0,-0.79,2025-10-07 02:29:23.787254333
1759804163.7750428,RTU1,3,0.991,-0.09,49.91,378.1,28.5,GOOD,0.0092,0.0896,1,1,0,None,none,,,2025-10-07 02:29:23.775042772
1759804163.8039556,RTU2,3,1.043,-0.038,50.28,334.8,162.0,GOOD,0.043,0.2783,1,1,1,Measurement Noise,medium,0.043,0.28,2025-10-07 02:29:23.803955555
1759804163.803032,RTU2,2,1.048,0.106,49.95,292.7,199.9,GOOD,0.0484,0.0452,1,1,1,Measurement Noise,high,0.048,-0.05,2025-10-07 02:29:23.803031921
1759804163.775483,RTU2,10,0.98,0.078,50.01,-248.0,-143.6,GOOD,0.0202,0.013,1,1,0,None,none,,,2025-10-07 02:29:23.775482893
1759804163.80271,RTU3,4,1.023,-0.149,49.6,-99.3,-136.8,SUSPECT,0.0231,0.4024,1,1,1,Measurement Noise,low,0.023,-0.4,2025-10-07 02:29:23.802710056
1759804163.793284,RTU2,4,1.347,-0.099,50.93,-192.0,-39.8,GOOD,0.3473,0.9295,0,0,1,Combined Attack,high,0.347,0.93,2025-10-07 02:29:23.793283939
