,frame_len,frame_protocols,eth_src,eth_dst,ip_src,ip_dst,ip_len,ip_flags,tcp_srcport,tcp_dstport,tcp_len,tcp_flags,tcp_retransmission,tcp_rtt,flow_count,flow_final_count,packets,snort_alert,snort_alert_type,Time,LL_dnp3_src,LL_dnp3_dst,LL_dnp3_len,LL_dnp3_ctl,TL_dnp3_tr_ctl,AL_dnp3_al_func,AL_dnp3_al_ctl,AL_dnp3_obj,DNP3 Object Count,DNP3 Objects,AL_Payload,value1,value2,value3,value4,value5
29,286,1,0,1,2,1,8,1,1,2,8,1,0,0.152266905,0,0,0,0,1,2020-10-17 18:30:55.075817585,5,0,3,0,0,129,15,1,38,1,71,-57.0326,1207.56,79.4864,1001.25,1236.1
30,81,1,1,0,1,2,11,1,5,1,10,1,0,9.648180540,9,1,66,1,0,2020-10-17 18:30:56.368053436,3,0,10,0,0,129,2,2,16,15,39,-57.0326,1207.56,79.4864,1001.25,1236.1
31,85,1,0,1,2,1,12,1,1,5,11,1,0,0.152922310,6,1,18,1,2,2020-10-17 18:30:57.427944660,2,0,0,0,0,129,1,2,32,255,56,-56.6287,1207.56,79.4864,1001.25,1236.1
32,81,1,1,0,1,2,11,1,6,1,10,1,0,51.902465549,16,3,47,0,1,2020-10-17 18:31:03.188090801,7,0,1,0,0,129,9,1,33,8,50,-56.6287,1207.56,79.4864,1006.3,1236.1
33,72,1,1,0,1,2,10,1,5,1,5,1,0,6.090904494,0,0,0,1,0,2020-10-17 18:31:08.030605078,1,0,7,0,0,129,2,1,58,1,30,-56.6287,1207.56,79.4864,1006.3,1236.1
34,85,1,0,1,2,1,12,1,1,6,11,1,0,0.152871629,0,0,0,0,1,2020-10-17 18:31:08.627558708,5,0,8,0,0,129,0,0,1,1200,1,-56.6287,1207.56,79.4864,1006.3,1236.1
35,225,1,0,1,2,1,5,1,1,5,4,1,0,0.151034612,0,0,0,0,1,2020-10-17 18:31:15.406423569,5,0,8,0,0,129,1,0,1,1200,1,-56.6287,1207.56,79.4864,1006.3,1236.1
36,72,1,1,0,1,2,10,1,4,1,5,1,0,60.001350575,1,0,16,0,1,2020-10-17 18:31:21.420289755,4,0,2,0,0,129,2,2,36,511,77,-56.6287,1207.56,79.4864,1006.3,1236.1
37,142,1,0,1,2,1,1,1,1,4,14,1,0,0.152026249,0,0,0,0,1,2020-10-17 18:31:21.810526609,5,0,8,0,0,129,2,0,1,1100,3,-56.6287,1207.56,79.4864,1006.3,1236.1
38,72,1,1,0,1,2,10,1,11,1,5,1,0,60.001387966,5,1,15,0,1,2020-10-17 18:31:22.608344793,8,0,4,0,0,129,8,1,42,1,6,-56.6287,1207.56,79.4864,1006.3,1005.96
39,196,1,0,1,2,1,2,1,1,11,1,1,0,0.152016176,0,0,0,1,2,2020-10-17 18:31:30.143086910,7,0,8,0,0,129,10,0,1,1000,0,-56.6287,1207.56,79.4864,1006.3,1005.96
40,72,1,1,0,1,2,10,1,6,1,5,1,0,7.944930188,13,3,39,0,1,2020-10-17 18:31:35.639894724,0,0,5,0,0,129,2,1,46,1,16,-56.6287,1207.56,79.4864,1006.3,1005.96
41,206,1,0,1,2,1,3,1,1,6,2,1,0,0.152201260,0,0,0,0,1,2020-10-17 18:31:36.276431799,2,0,0,0,0,129,3,2,32,255,60,-44.1066,1207.56,79.4864,1006.3,1005.96
42,72,1,1,0,1,2,10,1,9,1,5,1,0,60.001223920,8,2,24,0,1,2020-10-17 18:31:37.488285303,6,0,8,0,0,129,1,0,1,78,2,-44.1066,1207.56,79.4864,1006.3,1005.96
43,293,1,0,1,2,1,9,1,1,9,9,1,0,0.152126809,0,0,0,0,1,2020-10-17 18:31:45.718610525,8,0,8,0,0,129,9,0,1,1000,0,-44.1066,1207.56,79.4864,1006.3,1005.96
44,60,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 18:31:46.871994734,6,0,6,0,0,129,2,1,55,2,20,-44.1066,1207.56,56.6097,1006.3,1005.96
45,42,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 18:31:54.503590345,6,0,8,0,0,129,3,0,1,78,5,-44.1066,1207.56,56.6097,1006.3,1005.96
46,81,1,1,0,1,2,11,1,2,1,10,1,0,26.102421832,16,3,48,1,0,2020-10-17 18:31:55.304712534,5,0,3,0,0,129,3,1,38,1,81,-44.1066,230.709,56.6097,1006.3,1005.96
47,85,1,0,1,2,1,12,1,1,2,11,1,0,0.152608275,0,0,0,0,1,2020-10-17 18:31:56.605104446,3,0,10,0,0,129,3,2,16,15,38,-44.1066,230.709,56.6097,1006.3,1005.96
48,72,1,1,0,1,2,10,1,7,1,5,1,0,60.000748981,23,4,69,0,1,2020-10-17 18:31:57.656289577,2,0,0,0,0,129,2,2,32,255,62,-10.3432,230.709,56.6097,1006.3,1005.96
49,208,1,0,1,2,1,4,1,1,7,3,1,0,0.152406609,0,0,0,0,1,2020-10-17 18:32:03.491866112,7,0,1,0,0,129,11,1,33,0,63,-10.3432,230.709,56.6097,142.159,1005.96
50,81,1,1,0,1,2,11,1,2,1,10,1,0,8.930066908,5,1,80,1,0,2020-10-17 18:32:04.703097343,8,0,8,0,0,129,10,0,1,1300,4,-10.3432,230.709,56.6097,142.159,1005.96
51,85,1,0,1,2,1,12,1,1,2,11,1,0,0.152914338,0,0,0,0,1,2020-10-17 18:32:08.336484432,1,0,7,0,0,129,3,1,58,1,33,-10.3432,230.709,56.6097,142.159,1005.96
52,72,1,1,0,1,2,10,1,10,1,5,1,0,60.001081572,0,0,0,0,1,2020-10-17 18:32:10.331733942,6,0,8,0,0,129,4,0,1,78,2,-10.3432,230.709,56.6097,142.159,1005.96
53,239,1,0,1,2,1,6,1,1,10,6,1,0,0.151464955,0,0,0,1,2,2020-10-17 18:32:18.712442160,6,0,8,0,0,129,5,0,1,78,2,-10.3432,230.709,56.6097,142.159,1005.96
54,81,1,1,0,1,2,11,1,10,1,10,1,0,6.750936402,20,4,60,1,0,2020-10-17 18:32:21.723761320,4,0,2,0,0,129,3,2,36,511,78,-10.3432,230.709,56.6097,142.159,1005.96
55,85,1,0,1,2,1,12,1,1,10,11,1,0,0.152912349,0,0,0,0,1,2020-10-17 18:32:22.918661356,8,0,4,0,0,129,11,1,42,1,12,-10.3432,230.709,56.6097,142.159,72.1723
56,72,1,1,0,1,2,10,1,8,1,5,1,0,60.001181893,12,3,36,0,1,2020-10-17 18:32:26.607110500,6,0,8,0,0,129,6,0,1,78,2,-10.3432,230.709,56.6097,142.159,72.1723
57,253,1,0,1,2,1,7,1,1,8,7,1,0,0.152193796,0,0,0,0,1,2020-10-17 18:32:35.940515280,0,0,5,0,0,129,3,1,46,1,18,-10.3432,230.709,56.6097,142.159,72.1723
58,72,1,1,0,1,2,10,1,3,1,5,1,0,60.000984584,4,1,64,0,1,2020-10-17 18:32:36.584306717,2,0,0,0,0,129,4,2,32,255,61,-17.2284,230.709,56.6097,142.159,72.1723
59,81,1,1,0,1,2,11,1,10,1,10,1,0,6.697956799,0,0,0,0,1,2020-10-17 18:32:42.054395676,5,0,9,0,0,129,4,3,1,1,82,-17.2284,230.709,56.6097,142.159,72.1723
60,196,1,0,1,2,1,2,1,1,3,1,1,0,0.152436667,0,0,0,1,0,2020-10-17 18:32:47.184276819,6,0,6,0,0,129,7,1,55,2,23,-17.2284,230.709,54.348,142.159,72.1723
61,85,1,0,1,2,1,12,1,1,10,11,1,0,0.151032419,0,0,0,1,2,2020-10-17 18:32:55.628378868,5,0,3,0,0,129,5,1,38,1,68,-17.2284,163.924,54.348,142.159,72.1723
62,72,1,1,0,1,2,10,1,2,1,5,1,0,24.662647052,30,6,142,0,1,2020-10-17 18:32:56.921756029,3,0,10,0,0,129,4,2,16,15,42,-17.2284,163.924,54.348,142.159,72.1723
63,286,1,0,1,2,1,8,1,1,2,8,1,0,0.297118089,6,1,18,1,2,2020-10-17 18:32:57.956497669,2,0,0,0,0,129,3,2,32,247,45,129.423,163.924,54.348,142.159,72.1723
64,60,0,0,1,0,0,0,0,0,0,0,0,0,-1,11,2,33,0,1,2020-10-17 18:33:03.783730268,7,0,1,0,0,129,12,1,33,0,64,129.423,163.924,54.348,132.539,72.1723
65,42,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,2,2020-10-17 18:33:08.564388275,1,0,7,0,0,129,4,1,58,1,34,129.423,163.924,54.348,132.539,72.1723
66,72,1,1,0,1,2,10,1,5,1,5,1,0,60.001032214,10,2,30,0,1,2020-10-17 18:33:21.877383232,4,0,2,0,0,129,4,2,36,511,79,129.423,163.924,54.348,132.539,72.1723
67,225,1,0,1,2,1,5,1,1,5,4,1,0,0.228136589,0,0,0,0,1,2020-10-17 18:33:23.071260214,8,0,4,0,0,129,12,1,42,1,10,129.423,163.924,54.348,132.539,67.917
68,72,1,1,0,1,2,10,1,4,1,5,1,0,60.000946018,1,0,16,0,1,2020-10-17 18:33:36.093390703,0,0,5,0,0,129,4,1,46,1,19,129.423,163.924,54.348,132.539,67.917
69,142,1,0,1,2,1,1,1,1,4,14,1,0,0.227300297,5,1,15,0,1,2020-10-17 18:33:36.736330986,2,0,0,0,0,129,5,2,32,247,46,117.81,163.924,54.348,132.539,67.917
70,72,1,1,0,1,2,10,1,11,1,5,1,0,60.000820203,0,0,0,0,1,2020-10-17 18:33:47.336560488,6,0,6,0,0,129,8,1,55,2,21,117.81,163.924,46.2441,132.539,67.917
71,196,1,0,1,2,1,2,1,1,11,1,1,0,0.241226735,0,0,0,1,2,2020-10-17 18:33:55.781513214,5,0,3,0,0,129,6,1,38,1,67,117.81,158.773,46.2441,132.539,67.917
72,72,1,1,0,1,2,10,1,6,1,5,1,0,60.000785592,13,3,39,1,2,2020-10-17 18:33:57.075478554,3,0,10,0,0,129,5,2,16,15,43,117.81,158.773,46.2441,132.539,67.917
73,206,1,0,1,2,1,3,1,1,6,2,1,0,0.245391098,0,0,0,0,1,2020-10-17 18:33:58.110535860,2,0,0,0,0,129,4,2,32,247,47,114.437,158.773,46.2441,132.539,67.917
74,72,1,1,0,1,2,10,1,9,1,5,1,0,60.000804331,11,2,72,1,2,2020-10-17 18:34:03.937539816,7,0,1,0,0,129,13,1,33,0,65,114.437,158.773,46.2441,130.643,67.917
75,293,1,0,1,2,1,9,1,1,9,9,1,0,0.231873693,0,0,0,1,2,2020-10-17 18:34:08.717670918,1,0,7,0,0,129,5,1,58,1,35,114.437,158.773,46.2441,130.643,67.917
76,81,1,1,0,1,2,11,1,5,1,10,1,0,13.305747209,0,0,0,1,0,2020-10-17 18:34:22.029691696,4,0,2,0,0,129,5,2,36,511,80,114.437,158.773,46.2441,130.643,67.917
77,85,1,0,1,2,1,12,1,1,5,11,1,0,0.245993865,4,1,12,1,2,2020-10-17 18:34:23.224623442,8,0,4,0,0,129,13,1,42,1,11,114.437,158.773,46.2441,130.643,67.5129
78,81,1,1,0,1,2,11,1,5,1,10,1,0,6.457932187,18,3,54,1,0,2020-10-17 18:34:23.674701452,5,0,8,0,0,129,7,0,1,1200,1,114.437,158.773,46.2441,130.643,67.5129
79,85,1,0,1,2,1,12,1,1,5,11,1,0,0.320932583,0,0,0,1,2,2020-10-17 18:34:34.857712269,5,0,8,0,0,129,8,0,1,1100,3,114.437,158.773,46.2441,130.643,67.5129
80,72,1,1,0,1,2,10,1,7,1,5,1,0,60.000742716,17,3,51,0,1,2020-10-17 18:34:36.245794773,0,0,5,0,0,129,5,1,46,1,17,114.437,158.773,46.2441,130.643,67.5129
81,208,1,0,1,2,1,4,1,1,7,3,1,0,0.300472451,0,0,0,0,1,2020-10-17 18:34:36.887778997,2,0,0,0,0,129,6,2,32,247,44,73.3055,158.773,46.2441,130.643,67.5129
82,81,1,1,0,1,2,11,1,5,1,10,1,0,6.055768733,0,0,0,1,0,2020-10-17 18:34:42.008766413,5,0,9,0,0,129,9,3,1,1,82,73.3055,158.773,46.2441,130.643,67.5129
83,85,1,0,1,2,1,12,1,1,5,11,1,0,0.348334415,0,0,0,0,1,2020-10-17 18:34:47.488914013,6,0,6,0,0,129,9,1,55,2,22,73.3055,158.773,40.4814,130.643,67.5129
84,72,1,1,0,1,2,10,1,10,1,5,1,0,46.247746735,5,1,15,0,1,2020-10-17 18:34:48.562858582,7,0,8,0,0,129,14,0,1,1000,0,73.3055,158.773,40.4814,130.643,67.5129
85,239,1,0,1,2,1,6,1,1,10,6,1,0,0.297606801,0,0,0,1,2,2020-10-17 18:34:55.934859037,5,0,3,0,0,129,10,1,38,1,69,73.3055,1106.05,40.4814,130.643,67.5129
86,60,0,0,1,0,0,0,0,0,0,0,0,0,-1,10,2,30,0,1,2020-10-17 18:34:57.228953123,3,0,10,0,0,129,6,2,16,15,36,73.3055,1106.05,40.4814,130.643,67.5129
87,42,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,2,2020-10-17 18:34:58.262990236,2,0,0,0,0,129,5,2,32,255,54,-63.8918,1106.05,40.4814,130.643,67.5129
88,81,1,1,0,1,2,11,1,6,1,10,1,0,26.649977994,10,1,30,1,0,2020-10-17 18:34:58.901035786,6,0,8,0,0,129,10,0,1,78,2,-63.8918,1106.05,40.4814,130.643,67.5129
89,85,1,0,1,2,1,12,1,1,6,11,1,0,0.305017964,0,0,0,1,2,2020-10-17 18:35:04.090926170,7,0,1,0,0,129,15,1,33,8,52,-63.8918,1106.05,40.4814,944.16,67.5129
90,72,1,1,0,1,2,10,1,8,1,5,1,0,60.000658466,12,3,36,0,1,2020-10-17 18:35:08.871041536,1,0,7,0,0,129,6,1,58,1,32,-63.8918,1106.05,40.4814,944.16,67.5129
91,253,1,0,1,2,1,7,1,1,8,7,1,0,0.302086632,0,0,0,0,1,2020-10-17 18:35:22.182159901,4,0,2,0,0,129,6,2,36,511,74,-63.8918,1106.05,40.4814,944.16,67.5129
92,72,1,1,0,1,2,10,1,3,1,5,1,0,60.000564213,0,0,0,0,1,2020-10-17 18:35:23.378112555,8,0,4,0,0,129,14,1,42,1,9,-63.8918,1106.05,40.4814,944.16,67.5129
93,196,1,0,1,2,1,2,1,1,3,1,1,0,0.318749707,4,1,12,1,2,2020-10-17 18:35:26.566203594,6,0,8,0,0,129,11,0,1,78,2,-63.8918,1106.05,40.4814,944.16,
94,81,1,1,0,1,2,11,1,2,1,10,1,0,50.600929120,0,0,0,1,0,2020-10-17 18:35:35.095298290,6,0,8,0,0,129,12,0,1,78,5,-63.8918,1106.05,40.4814,944.16,
95,85,1,0,1,2,1,12,1,1,2,11,1,0,0.315554696,0,0,0,1,2,2020-10-17 18:35:36.399231195,0,0,5,0,0,129,6,1,46,1,15,-63.8918,1106.05,40.4814,944.16,
96,60,0,2,2,0,0,0,0,0,0,0,0,0,-1,16,3,48,0,1,2020-10-17 18:35:37.041209221,2,0,0,0,0,129,7,2,32,255,66,-70.4593,1106.05,40.4814,944.16,
97,60,0,2,2,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,2,2020-10-17 18:35:47.641373873,6,0,6,0,0,129,13,1,55,2,24,-70.4593,1106.05,40.4814,944.16,
98,60,0,2,2,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,2,2020-10-17 18:35:52.255285025,8,0,8,0,0,129,15,0,1,1000,0,-70.4593,1106.05,,944.16,
99,81,1,1,0,1,2,11,1,10,1,10,1,0,22.804137930,6,1,18,1,0,2020-10-17 18:35:55.447339296,8,0,8,0,0,129,0,0,1,1300,4,-70.4593,1106.05,,944.16,
100,85,1,0,1,2,1,12,1,1,10,11,1,0,0.306127824,0,0,0,0,1,2020-10-17 18:35:56.087349653,5,0,3,0,0,129,11,1,38,1,70,-70.4593,1106.05,,944.16,
101,72,1,1,0,1,2,10,1,2,1,5,1,0,9.084395833,6,1,18,1,2,2020-10-17 18:35:57.382372141,3,0,10,0,0,129,7,2,16,15,37,-70.4593,,,944.16,
102,286,1,0,1,2,1,8,1,1,2,8,1,0,0.299313559,0,0,0,1,2,2020-10-17 18:35:58.416425228,2,0,0,0,0,129,6,2,32,255,53,-70.4593,,,944.16,
103,81,1,1,0,1,2,11,1,2,1,10,1,0,7.381689341,22,4,68,1,0,2020-10-17 18:35:59.957256079,5,0,9,0,0,129,12,3,1,1,82,,,,944.16,
104,85,1,0,1,2,1,12,1,1,2,11,1,0,0.249906306,0,0,0,0,1,2020-10-17 18:36:04.243343115,7,0,1,0,0,129,0,1,33,8,51,,,,944.16,
105,72,1,1,0,1,2,10,1,5,1,5,1,0,33.266219027,0,0,0,0,1,2020-10-17 18:36:09.024500608,1,0,7,0,0,129,7,1,58,1,31,,,,,
